x,y,z,j1,j2,j3,j4
0.551006,0.192300,0.674409,70.7611,18.9509,-23.6372,109.7285
0.051715,0.375086,0.359197,7.8501,4.5137,-88.5139,-133.4500
-0.026711,0.080751,-0.012157,-18.3035,-75.4053,-15.5219,-78.8124
-0.108443,-0.288556,0.910378,-159.4031,80.4066,-84.5991,57.3839
0.099696,0.545178,0.700549,10.3631,28.9550,-40.6409,118.0112
-0.200877,0.309415,0.795457,-32.9923,66.0866,-91.6277,-72.1873
-0.205672,0.161271,1.117210,-51.8994,57.1625,16.6685,-113.0180
-0.249463,0.366120,0.242963,-34.2694,-18.3433,-46.2153,-147.6314
-0.055479,0.327998,0.885649,-9.6005,76.0107,-84.6291,121.5632
0.395356,0.438370,0.686036,42.0466,15.6119,-13.1187,134.8693
-0.238992,-0.050105,0.039947,-101.8406,-56.5189,-22.1500,-48.8556
-0.097539,-0.084921,0.152242,-131.0439,-39.2530,-86.0532,-101.3554
-0.381775,0.349101,0.837249,-47.5597,40.5079,-34.1773,-88.0094
-0.120309,0.023368,-0.007375,-79.0081,-83.4563,12.6671,-145.7356
-0.279947,-0.258049,0.220818,-132.6691,-67.9548,60.7315,66.7424
0.012287,-0.020130,-0.020356,148.5997,-83.1265,-11.1713,-3.7665
-0.037824,-0.166642,1.158415,-167.2119,71.6374,4.5973,116.5423
-0.360206,0.395649,0.384589,-42.3153,-3.9456,-39.2365,7.4304
-0.152127,0.387275,0.575086,-21.4456,36.1080,-94.6668,-55.6997
-0.430570,-0.224728,0.483704,-117.5615,17.2964,-70.9751,81.6756
-0.332597,0.141529,0.101309,-66.9490,-47.5606,-13.0083,102.5695
-0.257387,-0.491341,0.367881,-152.3523,-12.2754,-20.9381,-12.9922
0.074404,0.197165,0.036228,20.6749,-56.3053,-30.3532,55.0923
0.443352,-0.067410,0.306930,98.6454,-6.9597,-60.0975,42.7077
-0.224201,-0.452122,0.658363,-153.6239,35.2804,-65.5104,8.6467
-0.290273,-0.346709,0.789141,-140.0631,-3.2993,69.9299,-143.1651
-0.054131,0.207202,1.127500,-14.6410,57.6604,26.5999,-48.0668
0.367990,0.308928,0.627916,49.9864,35.7099,-75.0480,71.0324
-0.000223,0.380585,0.132534,-0.0336,-60.7559,26.9945,123.9651
-0.199761,0.535441,0.386808,-20.4594,-20.2909,3.8949,-12.1790
-0.476050,0.052394,0.233060,-83.7193,-45.6033,23.4459,108.1750
0.019027,-0.092333,1.117897,168.3562,59.1445,51.2398,22.4433
0.046314,0.005459,1.105859,83.2771,60.9948,58.9580,64.7693
0.588939,0.077355,0.617423,82.5172,-4.4389,19.4593,-127.4411
-0.079615,0.095008,1.144523,-39.9625,63.6066,34.0318,-144.5140
-0.236304,0.158136,1.086520,-56.2093,47.4952,32.0361,100.8697
0.043823,0.023873,-0.021455,61.4200,-84.4800,-1.8759,-95.8861
0.321343,-0.029422,0.979017,95.2314,77.1484,-64.6096,-61.4284
0.416284,0.276186,0.344333,56.4375,-5.4996,-48.3155,-89.8264
0.107135,0.247747,0.134379,23.3854,-83.7809,61.6696,108.2886
0.141407,-0.420485,0.988054,161.4124,40.0577,6.1595,116.3971
0.002024,0.014607,1.064795,7.8880,58.5009,74.3442,-83.9001
0.551586,0.151247,0.769529,74.6661,15.4674,6.9226,-13.8364
-0.491544,-0.179598,0.279264,-110.0711,-30.2393,0.8570,131.9233
0.001426,-0.000233,1.158902,99.2741,76.1038,33.4024,-2.8491
-0.154731,-0.562789,0.660706,-164.6271,18.3749,-25.4426,143.1651
-0.023335,0.065043,1.114988,160.2636,75.2847,54.1866,123.9316
-0.395852,0.126465,0.662537,-72.2826,47.3523,-92.6028,123.0472
-0.051644,0.282885,0.049473,-10.3462,-60.4632,-2.6026,-90.2550
0.143632,0.300180,1.007412,25.5705,30.4056,53.2085,80.2145
-0.265885,-0.460396,0.601079,-149.9930,-21.0141,57.2786,-35.2900
-0.041455,-0.057840,0.162558,-144.3700,-44.1877,-92.6621,-130.5080
-0.042016,0.177118,0.111906,166.6549,-83.6549,-68.5286,80.7602
0.340695,0.015674,0.287392,87.3659,-6.9531,-85.3265,-94.4638
0.376771,-0.188206,0.869205,116.5432,60.9041,-65.4404,9.8057
-0.519545,-0.277619,0.529636,-118.1178,4.8629,-23.6081,87.7275
-0.420231,0.254705,0.794703,-58.7796,0.9953,55.5420,19.4775
0.519580,0.035850,0.850281,86.0530,16.0663,27.5393,-106.9402
-0.291728,0.302855,0.326576,-43.9278,-2.0431,-72.3801,71.6624
0.379476,0.355807,0.628013,46.8438,-19.5023,61.1265,107.2434
-0.232997,-0.138850,1.118658,-120.7920,61.2954,4.7757,123.5631
-0.041312,0.301787,1.001367,-7.7948,79.2778,-62.0747,98.1514
0.484751,-0.337671,0.460852,124.8605,-14.0878,6.4844,-60.3100
0.118539,-0.342727,1.062506,160.9211,52.8496,0.5365,-136.5705
0.329221,-0.213134,1.029550,122.9186,56.2420,-17.7593,159.6747
-0.144817,0.522617,0.622886,-15.4880,-16.7649,52.1818,58.2053
-0.009961,0.002588,0.148551,104.5645,-55.9677,-90.4145,-18.2878
-0.068653,-0.121224,0.172278,-150.4760,-35.6711,-90.6115,-145.4390
-0.224767,0.048091,1.136490,-77.9230,64.1515,8.2258,79.5676
-0.487258,-0.212493,0.855413,-113.5620,21.2443,14.8523,-73.8991
-0.365438,0.016149,0.319347,-87.4697,-1.7760,-85.3890,54.4653
-0.366088,-0.372265,0.282824,-135.4793,-34.3177,11.2828,121.9519
0.024251,0.360198,0.099454,3.8518,-57.5158,10.7065,146.0808
0.045915,0.426799,0.571927,6.1403,34.5277,-91.0377,22.0700
0.409072,-0.259858,0.234766,122.4253,-27.3485,-19.6351,67.8290
-0.031240,0.441779,0.330683,-4.0449,-56.1702,66.4041,-81.3668
-0.245344,0.488372,0.519854,-26.6736,13.9519,-49.5155,-114.5524
-0.006299,-0.011372,1.093345,28.9844,65.3875,64.4840,51.9944
0.152916,0.205839,0.085741,36.6082,-81.4671,46.1366,-74.5994
-0.489753,-0.004421,0.680625,-90.5172,-16.2781,69.3085,42.9795
-0.034068,-0.016232,0.094801,64.5241,-64.8885,-73.8056,-57.5744
0.011659,-0.033670,1.141142,160.9006,68.6041,43.3252,65.9664
0.400128,-0.246889,0.550787,121.6756,27.8153,-78.7879,27.2716
0.380271,0.220873,0.879160,59.8507,10.9098,57.3614,-108.2321
-0.036074,-0.132413,0.071010,-164.7607,-50.8561,-59.2593,133.5651
-0.093924,0.480797,0.682374,-11.0536,39.6311,-69.1471,6.4695
0.252106,-0.128722,1.072207,117.0482,76.6387,-40.2889,91.3937
0.110424,-0.326064,0.242735,161.2909,-14.2885,-75.3465,-26.1991
0.504267,-0.180583,0.609345,109.7029,25.7131,-55.4673,108.7056
-0.038133,0.089164,1.175416,-23.1547,79.1364,3.8947,53.5139
-0.125873,0.123922,1.143189,-45.4474,82.7124,-24.5243,104.0057
-0.114808,0.379897,0.711136,-16.8152,54.9084,-94.1628,45.4813
-0.241544,0.408608,0.304027,-30.5889,-50.5500,49.8785,50.2629
-0.183031,-0.027277,0.022404,-98.4763,-60.5275,-26.9326,41.1190
0.011002,0.000537,0.108319,-92.7945,-60.0495,-78.5584,78.6191
0.123121,0.457666,0.208463,15.0572,-34.8245,-7.8967,-46.8963
-0.269414,-0.432133,0.860249,-148.0585,15.7416,31.7578,31.3513
0.249956,0.178235,0.205499,54.5085,-20.8079,-74.5956,-1.5804
-0.370470,-0.018616,0.814625,-92.8767,67.0193,-88.3437,-47.7740
0.018908,0.345879,1.058890,3.1290,44.3012,23.7780,123.6815
0.316749,-0.237325,1.005559,126.8425,60.1865,-31.8250,64.5061
-0.087164,-0.388578,0.220494,-167.3570,-64.6394,55.4367,-16.0801
0.024206,0.225325,0.021300,6.1316,-65.6212,-5.5546,-131.4035
-0.069497,0.051614,1.098782,-53.3995,56.2866,59.7393,-156.3028
0.136324,-0.326110,0.099260,157.3137,-46.3910,-17.6154,-31.2555
0.371964,0.005399,0.269671,89.1685,-10.0101,-74.5304,-113.6410
0.270162,0.325707,1.007550,39.6744,49.2578,-9.5723,108.6633
0.369998,-0.339595,0.599240,132.5467,-25.3560,68.4083,-50.8758
-0.549838,0.155159,0.468091,-74.2414,-23.8988,31.1009,115.4406
0.003977,0.285720,0.993670,0.7975,82.8910,-68.3452,49.2235
-0.400359,0.005566,0.146372,-89.2035,-37.1459,-24.5487,77.1573
-0.324938,0.421260,0.661595,-37.6447,30.9953,-54.6981,2.5242
-0.453892,0.372354,0.719466,-50.6360,14.5375,-2.8351,-5.1750
0.238081,-0.075108,1.059525,107.5091,84.3714,-53.6731,-89.3087
0.004481,-0.158874,0.093392,-1.6157,-81.8007,-65.0729,48.5790
-0.151254,0.038078,0.000431,-75.8695,-80.0569,12.3701,-98.3637
0.309516,0.432468,0.862990,35.5912,31.0285,-7.2697,54.1788
-0.032990,-0.039376,-0.015723,-140.0432,-78.4728,-15.9527,-77.2925
0.149419,0.209615,1.125386,35.4821,66.7245,-4.8090,-137.6537
0.244599,0.082449,0.217478,71.3722,-20.4396,-86.5902,-20.5423
-0.093237,-0.302561,0.145886,-162.8729,-31.4636,-55.0988,133.9962
0.091757,0.015890,0.142344,-99.8249,-68.1443,-85.8866,45.6864
0.026950,-0.096028,0.068799,164.3234,-53.9525,-61.7284,-120.3495
0.468792,0.154186,0.313199,71.7940,-46.4285,43.9956,-40.4948
